trading_date,S_raw,S_MA,S_Vol
2015-01-01,-0.07516429234943837,-0.07516429234943837,
2015-01-02,-0.10309692418128388,-0.08913060826536112,0.01975135338468518
2015-01-05,-0.05998531601273198,-0.07941551084781807,0.021867952207749407
2015-01-06,-0.012408931791941843,-0.06266386608384902,0.03796413173465786
2015-01-07,-0.09646574328053664,-0.06942424152318655,0.03618659771488378
2015-01-08,-0.09267185656751417,-0.0729257543668017,0.03769641852187888
2015-01-09,0.0017771034011822284,-0.05195094885030849,0.04515137045528728
2015-01-12,-0.03504422707636409,-0.046962731063034904,0.045418772599930886
2015-01-13,-0.09313830088432264,-0.06310860488151107,0.044402228590972176
2015-01-14,-0.03880367367817485,-0.0515761909610387,0.040924564016741286
2015-01-15,-0.08539040382143491,-0.05011990041182286,0.039189357958352926
2015-01-16,-0.0818168591748535,-0.06683869292703,0.027645212890196513
2015-01-19,-0.04276836486128967,-0.06838352048401511,0.02556164781726842
2015-01-20,-0.14689408217979982,-0.07913467674311055,0.04355101519229772
2015-01-21,-0.1338692504948995,-0.09814779210645548,0.04227456290012306
2015-01-22,-0.07216291605862314,-0.09550229455389313,0.043663555210407476
2015-01-23,-0.0911493427104863,-0.09736879126101969,0.04312847728849752
2015-01-26,-0.02129088691904948,-0.09307329567257165,0.05038513363875186
2015-01-27,-0.07893827481026733,-0.07948213419866515,0.04041710705459905
2015-01-28,-0.10072653124906622,-0.07285359034949848,0.03085388221061097
2015-01-29,0.04655427757056378,-0.04911015162366111,0.06173907933283831
2015-01-30,-0.03467838557647403,-0.03781596019685866,0.05711839491693078
2015-02-02,-0.016721192694261935,-0.03690202135190115,0.05748429981228764
2015-02-03,-0.08809166604982735,-0.038732699599813146,0.05927553269453368
2015-02-04,-0.04088063671916981,-0.02676352069383387,0.0487325029056045
2015-02-05,-0.004975141765177789,-0.03706940456098218,0.03188888936747037
2015-02-06,-0.06498515229161869,-0.04313075790401112,0.03412285538387021
2015-02-09,0.014378923343332874,-0.036910734696492156,0.04205333487753028
2015-02-10,-0.031466553779155686,-0.02558571224235782,0.030995171402250155
2015-02-11,-0.01310788546976684,-0.020031161992477228,0.03004288145652238
2015-02-12,-0.025758806448899434,-0.024187894929221555,0.028853201413534185
2015-02-13,0.09972673255185473,0.008754482039473127,0.05383875607074839
2015-02-16,0.009159153882122406,0.007710528147231032,0.053752969317183354
2015-02-17,-0.04039709082669529,0.005924420737723113,0.05550016936536857
2015-02-18,0.056201788013509765,0.019786355434378435,0.05815043854365025
2015-02-19,-0.04345146695094983,0.016247823333968354,0.06202408478408116
2015-02-20,0.030478638316761245,0.0023982044869496565,0.043768357500137724
2015-02-23,-0.07557620679766698,-0.01454886764900822,0.05536460643224857
2015-02-24,-0.041704491158095214,-0.014810347715288205,0.055520072877270184
2015-02-25,0.036769675486867645,-0.01869677022061663,0.049679391961128264
2015-02-26,0.0659947021349629,0.003192463596565917,0.05923750002434763
2015-02-27,0.039706218083462946,0.005037979549906257,0.060431810594124474
2015-03-02,0.027342255343959294,0.025621671978231515,0.040275323198681406
2015-03-03,0.01997559723833976,0.03795768965751851,0.01751132413199907
2015-03-04,-0.03707109506781674,0.02318953554658163,0.037960509651125796
2015-03-05,0.0026040400110262027,0.010511403121794289,0.029798516333770467
2015-03-06,0.01722154666072477,0.006014468837246654,0.0257069203651722
2015-03-09,0.09468183757003454,0.019482385282461705,0.04781079102171654
2015-03-10,0.06049295837014573,0.0275858575088229,0.05122689598447972
2015-03-11,-0.043440445938594,0.02631198733466745,0.0532749472726687
2015-03-12,0.062227656223030364,0.038236710577068275,0.05331452290647741
2015-03-13,0.02799284979189055,0.04039097120330143,0.052463913278814424
2015-03-16,0.014535267088553551,0.024361657107005233,0.0431456066666647
2015-03-17,0.08000982455431918,0.028265030343839925,0.047857182048999844
2015-03-18,0.10193026724654963,0.057339172980868644,0.03612340807334848
2015-03-19,0.09780767054413445,0.06445517584508946,0.04055926831852305
2015-03-20,0.010054765318306617,0.06086755895037268,0.04512694720311863
2015-03-23,0.03723517078538032,0.06540753968973803,0.04017000383101569
2015-03-24,0.0698469053209402,0.06337495584306224,0.03949791478549073
